ItemName,total_sentiment_analysis,YearPosted
They Breathe,1,2014
Thief,18,2014
Thief Town,1,2015
Thief: Deadly Shadows,2,2016
Thief™ Gold,6,2015
Thief™ II: The Metal Age,1,2014
Thinking with Time Machine,22,2014
Thirty Flights of Loving,3,2014
This Is the Police,3,2016
This War of Mine,56,2014
This War of Mine - War Child Charity DLC,2,2015
Thomas Was Alone,25,2014
Thunder Wolves,1,2014
Ticket to Ride,1,2015
Tiki Man,1,2015
Tilt Brush,1,2016
Timber and Stone,1,2015
Timberman,4,2015
Time Clickers,16,2015
"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",1,2014
Time of Dragons,4,2016
TimeShift™,2,2014
Tiny Barbarian DX,1,2014
Tiny Brains,2,2014
Tiny Troopers,3,2015
Tiny and Big: Grandpa's Leftovers,8,2013
TinyKeep,2,2014
Titan Attacks!,2,2014
Titan Souls,5,2016
To the Moon,57,2013
Tobe's Vertical Adventure,1,2012
Toki Tori,3,2015
Toki Tori 2+,2,2013
Tokyo School Life,3,2015
Tom Clancy's Ghost Recon: Future Soldier™,2,2015
Tom Clancy's Ghost Recon®,1,2014
Tom Clancy's Rainbow Six® 3 Gold,1,2014
Tom Clancy's Rainbow Six® Siege,70,2016
Tom Clancy's Rainbow Six® Siege - The Safari Bundle,2,2016
Tom Clancy's Rainbow Six® Siege - Ultra HD Texture Pack,2,2016
Tom Clancy's Rainbow Six® Vegas 2,4,2015
Tom Clancy's Splinter Cell Chaos Theory®,5,2014
Tom Clancy’s Splinter Cell Blacklist,21,2015
Tom Clancy’s The Division™,24,2016
Tomb Raider,154,2014
Tomb Raider I,2,2013
Tomb Raider II,1,2014
Tomb Raider: Anniversary,1,2015
Tomb Raider: Legend,2,2012
Torchlight,7,2013
Torchlight II,81,2013
Toribash,76,2015
Tormentum - Dark Sorrow,1,2016
TorqueL prototype,1,2014
Total Annihilation,4,2015
Total War Battles: KINGDOM,3,2015
Total War: ATTILA,16,2015
Total War: ATTILA - Age of Charlemagne Campaign Pack,1,2016
Total War: ATTILA - The Last Roman Campaign Pack,1,2015
Total War: ROME II - Blood & Gore,2,2015
Total War: ROME II - Wrath of Sparta Campaign Pack,1,2014
Total War: WARHAMMER,31,2016
Total War™: ROME II - Emperor Edition,74,2015
Tower Unite,8,2016
Tower of Guns,4,2014
TowerFall Ascension,3,2016
Town of Salem,32,2015
Towns,2,2014
Toy Soldiers,1,2012
Toy Soldiers: Complete,2,2014
TrackMania Nations Forever,14,2015
TrackMania² Canyon,2,2015
TrackMania² Stadium,8,2015
TrackMania² Valley,1,2015
Trackmania United Forever Star Edition,2,2014
Train Fever,4,2016
Train Fever: USA DLC,1,2015
Train Simulator,20,2014
Train Simulator: DB BR232 Loco Add-On,1,2015
Train Simulator: Southern Pacific GS-4 Loco Add-On,1,2016
Train Valley,1,2016
Trainz: A New Era,1,2015
Trainz™ Simulator 12,2,2014
TransOcean: The Shipping Company,2,2014
Transcendence,1,2015
Transformice,22,2016
Transistor,42,2014
Transmissions: Element 120,9,2016
Trapped Dead,1,2014
Traverser,1,2015
Tree of Life,1,2015
Tree of Savior (English Ver.),10,2016
Trials 2: Second Edition,1,2012
Trials Evolution: Gold Edition,9,2015
Trials Fusion™,3,2014
Tribes: Ascend,58,2015
Trine 2: Complete Story,29,2013
Trine 3: The Artifacts of Power,3,2016
Trine Enchanted Edition,7,2011
Tron 2.0,1,2014
Tropico 3,2,2015
Tropico 3: Absolute Power,2,2014
Tropico 4,26,2015
Tropico 4: Megalopolis DLC,1,2015
Tropico 5,13,2015
Trove,119,2016
Truck Racer,1,2014
True or False,2,2016
Turbo Dismount™,22,2014
Turbo Pug,13,2015
Turmoil,1,2016
TurnOn,1,2016
Turok,2,2016
Two Worlds Epic Edition,3,2014
Two Worlds II HD,3,2014
Typer Shark! Deluxe,1,2015
TyranoBuilder Visual Novel Studio,3,2016
UBERMOSH,3,2016
UNDERTALE Soundtrack,3,2015
Ubersoldier II,1,2014
Ultimate Arena,1,2016
Ultimate Chicken Horse,3,2016
Ultimate Doom,8,2013
Ultimate General: Gettysburg,2,2014
Ultimate Tic-Tac-Toe,4,2015
Ultionus: A Tale of Petty Revenge,1,2014
Ultra Street Fighter® IV,22,2015
Ultratron,3,2013
Umbrella Corps™/Biohazard Umbrella Corps™,2,2016
Umineko When They Cry - Question Arcs,1,2016
UnEpic,6,2013
UnReal World,1,2016
Unbox: Newbie's Adventure,1,2016
Uncraft World,1,2016
Undead Overlord,1,2015
UnderRail,4,2016
Undertale,212,2015
Unearthed: Trail of Ibn Battuta - Episode 1 - Gold Edition,3,2014
Unfortunate Spacemen,1,2016
Unholy Heights,1,2014
Unity of Command: Stalingrad Campaign,1,2014
Unium,1,2015
Universe Sandbox,8,2014
Universe Sandbox ²,17,2016
Unmechanical,1,2012
Unpossible,1,2015
Unreal Gold,1,2015
Unreal Tournament 2004: Editor's Choice Edition,6,2014
Unreal Tournament 3 Black,4,2012
Unstoppable Gorg,1,2013
Untamed: Life Of A Cougar,1,2015
Unturned,943,2014
Unturned - Permanent Gold Upgrade,16,2016
Uplink,7,2011
Urban Trial Freestyle,4,2014
Uriel's Chasm,3,2016
VEGAS Movie Studio 13 Platinum - Steam Powered,1,2015
VIDEOBALL,1,2016
VR Regatta - The Sailing Game,1,2016
VRC PRO,1,2016
VVVVVV,12,2015
Valdis Story: Abyssal City,1,2014
Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,29,2014
Valkyria Chronicles™,18,2016
Vampire: The Masquerade - Bloodlines,6,2015
Vanguard Princess Director's Cut,1,2014
Vanishing Realms™,2,2016
Vapour,2,2015
Vector,1,2014
Vector Thrust,2,2016
Vegas: Make It Big™,1,2016
Velocibox,2,2015
Velocity®Ultra,1,2016
Velvet Assassin,3,2014
Velvet Sundown,4,2015
Verde Station,1,2014
Verdun,92,2015
Vernon's Legacy,1,2016
Vertical Drop Heroes HD,1,2015
Vertiginous Golf,4,2016
Vessel,1,2015
Victim of Xen,2,2016
Victor Vran ARPG,4,2016
Victoria II,9,2015
Victory At Sea,1,2015
Victory: The Age of Racing,3,2014
Villagers and Heroes,5,2014
Vindictus,23,2015
Violett Remastered,1,2016
Viridi,13,2015
Virtual Desktop,2,2016
Voices from the Sea,7,2015
Void 21,1,2016
VoidExpanse,1,2015
Volgarr the Viking,4,2014
Volo Airsport,1,2014
Volt,1,2014
Voxelized,4,2016
WAKFU,7,2015
WARMACHINE: Tactics,1,2014
WARMODE,11,2015
WORLD END ECONOMiCA episode.01,2,2015
WORLD END ECONOMiCA episode.02,1,2015
WRC 4 FIA World Rally Championship,2,2014
WRC 5 FIA World Rally Championship,1,2015
WWE 2K16,5,2016
Wake Up,1,2016
Waking Mars,1,2014
Waltz of the Wizard,1,2016
Wanderlust Adventures,1,2015
War Thunder,258,2015
War for the Overworld,5,2015
War of Beach,1,2015
War of the Human Tanks,3,2014
"War, the Game",1,2015
Warden: Melody of the Undergrowth,1,2016
Warface,49,2014
Warframe,557,2015
Wargame: Airland Battle,17,2013
Wargame: European Escalation,4,2014
Wargame: Red Dragon,16,2015
"Warhammer 40,000: Dawn of War II",15,2016
"Warhammer 40,000: Kill Team",1,2014
"Warhammer 40,000: Regicide",3,2015
"Warhammer 40,000: Space Marine",11,2012
"Warhammer 40,000: Space Marine - Iron Hands Chapter Pack DLC",1,2015
Warhammer Quest,1,2016
Warhammer: End Times - Vermintide,19,2016
Warhammer: End Times - Vermintide Last Stand,1,2016
Warhammer: End Times - Vermintide Schluesselschloss,1,2016
Warhammer: End Times - Vermintide Sigmar's Blessing,3,2015
"Warhammer® 40,000: Dawn of War® - Dark Crusade",12,2014
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",11,2015
"Warhammer® 40,000: Dawn of War® - Soulstorm",10,2015
"Warhammer® 40,000: Dawn of War® II Chaos Rising",6,2013
"Warhammer® 40,000™: Dawn of War® II - Retribution - The Last Stand Necron Overlord",4,2016
Warlock - Master of the Arcane,2,2012
Warlock 2: The Exiled,1,2015
Warp,1,2012
Waste Walkers,1,2016
Wasteland 2: Director's Cut,5,2014
Watch_Dogs™,34,2014
Waveform,4,2015
Way of the Samurai 4,1,2016
We Slay Monsters,1,2014
Welcome to the Game,5,2016
Westerado: Double Barreled,5,2015
Westward Collection,1,2012
What The Box?,1,2016
What's under your blanket !?,9,2016
White Noise Online,2,2014
Who's Your Daddy,17,2016
Wick,2,2015
Wild Animal Racing,1,2016
Wild Season,1,2015
Wild Warfare,5,2014
WildStar,6,2016
Wildlife Park 2,1,2015
Wildlife Park 2 - Fantasy,1,2014
Windlands,1,2016
Windosill,1,2014
Windward,5,2016
Wings of Prey,2,2014
Wings of Vi,7,2015
Winter Sports Trilogy Super Pack,1,2015
Winter Voices,1,2015
Without Within,10,2015
Wizorb,1,2013
Wolcen: Lords of Mayhem,1,2016
Wolfenstein 3D,6,2016
Wolfenstein: The New Order,42,2014
Wolfenstein: The Old Blood,7,2016
Woodcutter Simulator 2013,1,2014
Woodle Tree Adventures,7,2015
Word Rescue,1,2015
World of Goo,6,2014
World of Guns: Gun Disassembly,27,2014
World of Soccer online,6,2016
World's Fastest Pizza,2,2016
Worm.is: The Game,4,2016
Worms,1,2014
Worms Armageddon,6,2015
Worms Clan Wars,3,2014
Worms Crazy Golf,1,2014
Worms Reloaded,11,2015
Worms Revolution,10,2016
Worms Ultimate Mayhem,1,2014
Wrack,1,2013
Written in the Sky,1,2015
Wurm Unlimited,2,2016
Wyv and Keep: The Temple of the Lost Idol,1,2014
X Rebirth,4,2015
X-Blades,3,2016
X-COM: Apocalypse,2,2016
X-COM: Enforcer,1,2014
X-COM: Interceptor,1,2013
X-COM: UFO Defense,3,2011
X-Plane 10 Global - 64 Bit,1,2014
X3: Albion Prelude,1,2015
X3: Reunion,1,2015
X3: Terran Conflict,1,2015
XCOM 2: Alien Hunters,3,2016
XCOM 2: Anarchy's Children,2,2016
XCOM: Enemy Unknown,104,2015
XCOM: Enemy Within,2,2015
XCOM® 2,35,2016
Xenonauts,2,2014
Xeodrifter™,1,2015
Xpand Rally Xtreme,1,2014
Year Walk,7,2015
Yet Another Zombie Defense,48,2015
You Are Not The Hero,1,2015
You Have 10 Seconds,1,2016
You Have 10 Seconds 2,2,2016
You Have to Win the Game,19,2014
You Must Build A Boat,3,2016
Youtubers Life,5,2016
Ys I & II Chronicles+,1,2013
Ys Origin,3,2016
Z,2,2014
Z Steel Soldiers,1,2015
ZOMBI,1,2015
Zavix Tower,1,2016
Zen Bound 2,3,2011
Zeno Clash,6,2011
Zeno Clash 2,1,2016
Zenzizenzic,1,2015
Zero G Arena,3,2016
Zero Gear,3,2014
Zero Punctuation: Hatfall - Hatters Gonna Hat Edition,1,2015
Ziggurat,8,2014
Zombie Army Trilogy,12,2015
Zombie Driver HD,3,2014
Zombie Exodus,1,2015
Zombie Kill of the Week - Reborn,1,2015
Zombie Panic! Source,34,2016
Zombie Party,1,2016
Zoombinis,4,2015
Zuma's Revenge!,2,2016
[the Sequence],1,2016
bit Dungeon II,1,2016
eXceed 3rd - Jade Penetrate Black Package,1,2013
eden*,3,2015
eversion,3,2010
fault - milestone one,1,2015
fault - milestone two side:above,3,2015
gravilon,1,2016
how do you Do It?,11,2016
iBomber Defense,1,2013
iBomber Defense Pacific,1,2013
iRacing,1,2015
ibb & obb,6,2016
inMomentum,1,2015
klocki,2,2016
liteCam Game: 100 FPS Game Capture,2,2015
oO,3,2015
planetarian ~the reverie of a little planet~,6,2014
resident evil 4 / biohazard 4,6,2014
sZone-Online,4,2016
the static speaks my name,13,2015
theBlu,1,2016
theHunter Classic,32,2015
theHunter: Primal,13,2015
Астролорды: Облако Оорта,1,2015
